https://www.sparebank1.no/nb/bank/privat.html	market-landing	header
https://www.sparebank1.no/nb/bank/bedrift.html	market-landing	header
https://www.sparebank1.no/nb/bank/om-oss.html	market-landing	header
https://www.sparebank1.no/nb/bank/privat/daglig-bruk.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/lan.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/sparing.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/pensjon.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/forsikring.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/eiendom.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/tips-og-rad.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/kundeservice.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/lofavor.html	category-hub	header
https://www.sparebank1.no/nb/bank/privat/kundeservice/bestill/bli-kunde.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/kundeservice/verktoy/sperre-kort.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/forsikring/meld-skade.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/kundeservice/bestill/prisliste.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/kundeservice/verktoy/klager.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/svindel.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/om-oss/om-banken/selskapsinformasjon.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/om-oss/personvern/generelle-vilkar.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/om-oss/personvern.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/bedrift/open-api.html	footer-utility	footer
https://www.sparebank1.no/nb/bank/privat/private-banking.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/daglig-drift.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/konto.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/bedriftskort.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/betaling.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/regnskap.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/lan-finansiering.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/pensjon.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/sparing-investering.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/starte-bedrift.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/kundeservice.html	category-hub	landing
https://www.sparebank1.no/nb/bank/bedrift/tips-og-rad.html	category-hub	landing
https://www.sparebank1.no/nb/bank/om-oss/presse.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/investor.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/jobb-og-karriere.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/samfunnsansvar.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/selskaper.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/nyheter.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/vare-eksperter.html	om-oss	landing
https://www.sparebank1.no/nb/bank/om-oss/hjemme.html	om-oss	landing
https://www.sparebank1.no/nb/bank/privat/lan/boliglan.html	product	detail
https://www.sparebank1.no/nb/bank/privat/lan/billan.html	product	detail
https://www.sparebank1.no/nb/bank/privat/lan/forbrukslan.html	product	detail
https://www.sparebank1.no/nb/bank/privat/lan/refinansiering.html	product	detail
https://www.sparebank1.no/nb/bank/privat/lan/gronne-lan.html	product	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/kredittkort.html	product	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/bankkonto.html	product	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/bankkort.html	product	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/mobilbank.html	product	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/bankid.html	product	detail
https://www.sparebank1.no/nb/bank/privat/sparing/spare-pa-konto.html	product	detail
https://www.sparebank1.no/nb/bank/privat/sparing/spare-i-fond.html	product	detail
https://www.sparebank1.no/nb/bank/privat/sparing/spare-til-barn.html	product	detail
https://www.sparebank1.no/nb/bank/privat/pensjon/egen-pensjonskonto.html	product	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/bilforsikring.html	product	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/reiseforsikring.html	product	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/innboforsikring.html	product	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/barneforsikring.html	product	detail
https://www.sparebank1.no/nb/bank/bedrift/konto/bedriftskonto.html	product	detail
https://www.sparebank1.no/nb/bank/bedrift/lan-finansiering/kassekreditt.html	product	detail
https://www.sparebank1.no/nb/bank/bedrift/lan-finansiering/bedriftslan.html	product-b2b	detail
https://www.sparebank1.no/nb/bank/bedrift/lan-finansiering/leasing.html	product-b2b	detail
https://www.sparebank1.no/nb/bank/bedrift/bedriftskort/kredittkort.html	product-b2b	detail
https://www.sparebank1.no/nb/bank/bedrift/betaling/utenlandsbetaling.html	product-b2b	detail
https://www.sparebank1.no/nb/bank/bedrift/bedriftsforsikring/bransjer/borettslag-sameie.html	theme	detail
https://www.sparebank1.no/nb/bank/privat/daglig-bruk/kredittkort/netthandel-kredittkort.html	theme	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/hvilke-forsikringer-trenger-man.html	theme	detail
https://www.sparebank1.no/nb/bank/privat/pensjon/hva-far-jeg-i-pensjon.html	theme	detail
https://www.sparebank1.no/nb/bank/privat/kundeservice/verktoy/valutakalkulator.html	tool	detail
https://www.sparebank1.no/nb/bank/privat/kundeservice/verktoy/sparekalkulator.html	tool	detail
https://www.sparebank1.no/nb/bank/privat/kundeservice/verktoy/iban-og-swift.html	tool	detail
https://www.sparebank1.no/nb/bank/privat/lan/lanekalkulator.html	tool	detail
https://www.sparebank1.no/nb/bank/privat/kundeservice/kontakt.html	static-story	detail
https://www.sparebank1.no/nb/bank/bedrift/starte-bedrift/selskapsform/as-eller-enk.html	static-story	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/kundehistorier.html	static-story	detail
https://www.sparebank1.no/nb/bank/privat/forsikring/kundehistorier/sikrer-seg-mot-vannlekkasje-klok-av-skade.html	static-story	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/administrere-prisavtaler.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bank-regnskap/aktivere-ehf.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bedriftsforsikring/begunstigelse.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bedriftsforsikring/fg-godkjent-sprinkleranlegg.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-andre-sporsmal/hvordan-blir-jeg-bedriftskunde.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-andre-sporsmal/hvordan-flytte-avtalegiro-efaktura-ehf.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-kort-betaling/hva-er-bankaxept.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-kort-betaling/hva-er-bankkode.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-lan-finansiering/fast-flytende-rente-bedriftslan.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-lan-finansiering/kan-jeg-lease-uten-innskudd.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-nettbank-bedrift/Endre-kasserer-i-nettbank-bedrift.html	faq	detail
https://www.sparebank1.no/nb/bank/bedrift/kundeservice/bm-nettbank-bedrift/hvordan-sende-efaktura.html	faq	detail
